Rank,TT UserID,Score,Time Taken,Completed At,Completed At
1,6325,70,5648,10:09:24 PM,11/7/2020
2,5110,70,6457,10:10:48 PM,11/7/2020
3,7520,70,7543,10:15:09 PM,11/7/2020
4,5208,70,13096,10:21:56 PM,11/7/2020
5,5506,70,13256,10:22:07 PM,11/7/2020
6,5180,70,13912,10:23:18 PM,11/7/2020
7,5672,70,13478,10:23:26 PM,11/7/2020
8,7681,70,13596,10:23:31 PM,11/7/2020
9,7666,70,14523,10:27:24 PM,11/7/2020
10,7611,70,6228,10:32:40 PM,11/7/2020
11,5520,70,2940,10:33:00 PM,11/7/2020
12,8241,70,26922,10:45:00 PM,11/7/2020
13,8316,70,25934,10:46:47 PM,11/7/2020
14,6905,70,1553,10:49:43 PM,11/7/2020
15,6149,70,3510,10:50:37 PM,11/7/2020
16,5556,70,31205,10:52:01 PM,11/7/2020
17,6593,70,5115,10:58:49 PM,11/7/2020
18,6474,68,16183,10:26:59 PM,11/7/2020
19,6718,68,14557,10:27:42 PM,11/7/2020
20,8008,68,30877,10:51:30 PM,11/7/2020
21,7989,65,17845,10:35:28 PM,11/7/2020
22,7073,65,22837,10:44:11 PM,11/7/2020
23,6942,65,20439,10:44:30 PM,11/7/2020
24,5522,61,17556,10:35:47 PM,11/7/2020
25,5019,60,12706,10:35:00 PM,11/7/2020
26,7648,60,22750,10:39:58 PM,11/7/2020
27,8216,60,1095,10:42:21 PM,11/7/2020
28,5446,60,25705,10:57:13 PM,11/7/2020
29,5037,58,11651,10:34:49 PM,11/7/2020
30,5038,58,3195,10:42:13 PM,11/7/2020
31,5233,58,19720,10:59:13 PM,11/7/2020
32,5759,52,27637,10:46:46 PM,11/7/2020
33,6810,49,12624,10:34:32 PM,11/7/2020
34,6946,46,24026,11:00:04 PM,11/7/2020
35,7046,45,10715,10:40:04 PM,11/7/2020
36,8172,43,17987,10:47:52 PM,11/7/2020
37,7682,41,13898,10:48:52 PM,11/7/2020
38,6686,18,2211,10:22:12 PM,11/7/2020
39,8095,17,6460,10:36:20 PM,11/7/2020
40,7079,5,2586,10:05:26 PM,11/7/2020
41,7073,0,0,2:59:49 PM,11/5/2020
42,5354,0,0,7:00:50 PM,11/5/2020
43,5324,0,0,1:22:38 AM,11/6/2020
44,5714,0,0,11:36:00 AM,11/6/2020
45,8296,0,0,5:44:28 PM,11/6/2020
46,5354,0,0,12:52:28 AM,11/7/2020
47,7521,0,0,3:13:43 AM,11/7/2020
48,7776,0,0,10:54:59 AM,11/7/2020
49,5636,0,0,12:23:39 PM,11/7/2020
50,8351,0,0,1:42:09 PM,11/7/2020
51,8299,0,0,10:01:59 PM,11/7/2020
52,3659,0,0,10:02:55 PM,11/7/2020
