Rank,TT UserID,Score,Time Taken
1,5324,198,99412
2,5208,190,78693
3,7079,183,509983
4,3659,160,166795
5,5233,153,406225
6,8216,150,29642
7,6325,150,66245
8,5110,150,82098
9,5038,150,805836
10,7776,146,54517
11,5037,146,812055
12,7520,143,22219
13,5672,140,177773
14,7682,140,180948
15,5506,137,112367
16,8095,131,82804
17,7681,131,137894
18,7521,127,119776
19,5180,127,316004
20,7989,124,111810
21,6810,119,76030
22,6149,110,395092
23,6971,109,177286
24,6073,105,505332
25,7343,103,55970
26,5411,97,539844
27,6062,97,540088
28,6460,96,241995
29,5714,96,765068
30,8210,90,76731
31,8126,88,99582
32,5224,86,87727
33,5354,80,810424
34,5446,75,93550
35,6942,71,73068
36,7073,71,233174
37,6364,63,52746
38,8008,61,334279
39,5522,56,198764
40,5636,56,203535
41,7039,55,63903
42,6718,55,183726
43,7666,55,270237
44,5894,55,273184
45,5719,55,326117
46,9385,53,1080
47,6593,53,188882
48,6504,51,44814
49,7611,51,113355
50,6543,50,62998
51,6951,50,679517
52,5719,48,22210
53,8246,48,34848
54,6743,48,43936
55,6807,46,46446
56,6171,46,61555
57,7965,46,119935
58,5556,46,246174
59,5019,46,343242
60,5668,45,21178
61,6590,45,148699
62,6486,42,93782
63,6803,42,117147
64,6038,41,23556
65,7199,41,218779
66,6686,41,299377
67,5345,41,367942
68,7555,41,858569
69,7566,39,425202
70,6898,38,1088
71,5254,38,51248
72,6474,37,188991
73,7650,36,11151
74,6873,36,13562
75,6397,36,491550
76,5047,35,20798
77,5547,35,58366
78,5544,35,58599
79,7514,35,294552
80,6805,35,470102
81,6794,35,473505
82,6253,33,254781
83,5665,32,11428
84,6678,32,16596
85,5105,32,29132
86,6463,32,338767
87,6836,32,502048
88,6542,31,17658
89,7701,30,15503
90,6344,30,96563
91,5396,28,12160
92,5902,28,21128
93,7544,28,24529
94,9873,27,84695
95,5859,26,11056
96,5514,26,12457
97,7473,26,25632
98,5156,25,8147
99,5572,25,8558
100,5964,25,19545
101,7073,25,20612
102,5216,25,65886
103,6695,25,194688
104,6116,24,34844
105,8170,23,9416
106,5510,23,16274
107,5681,23,19161
108,5927,23,33202
109,6224,23,83077
110,5876,23,83255
111,7535,23,102972
112,7046,23,198844
113,5484,22,11012
114,6662,21,12776
115,5810,21,17105
116,5361,21,80425
117,6362,21,279121
118,7423,20,5699
119,6996,20,6566
120,5362,20,7213
121,6113,20,10422
122,5354,20,11976
123,8063,20,13310
124,7753,20,54296
125,5171,20,399644
126,6129,19,94547
127,7669,18,38502
128,6628,18,190064
129,6725,18,372939
130,7383,18,510834
131,5015,17,214647
132,7297,16,7704
133,5287,16,8973
134,5591,16,12914
135,5426,16,16533
136,5375,16,19295
137,5407,16,26769
138,7998,15,2711
139,7113,15,2740
140,6092,15,2745
141,6656,15,2882
142,5283,15,3134
143,7229,15,4827
144,7750,15,5720
145,6009,15,6871
146,8002,15,8886
147,7365,15,9074
148,5379,15,9110
149,7910,15,33576
150,6946,15,85952
151,6303,15,540500
152,6284,13,4018
153,6412,13,5831
154,7774,13,24412
155,5981,13,277606
156,7999,12,5546
157,8118,12,6686
158,5337,12,8608
159,5025,12,325413
160,7431,11,909
161,6027,11,2406
162,5262,11,2534
163,5357,11,2908
164,5067,11,3534
165,5339,11,4061
166,5050,11,4715
167,5247,11,5456
168,5470,11,6632
169,6121,11,6874
170,6271,11,7306
171,5586,11,7379
172,5337,11,8891
173,5289,11,24237
174,7454,11,29010
175,7054,11,40301
176,5214,11,55693
177,7976,11,64537
178,5316,11,66122
179,6250,11,214563
180,5450,11,350968
181,7474,10,1822
182,6636,10,2135
183,6088,10,2220
184,7651,10,3753
185,5735,10,4560
186,7386,10,5116
187,8136,10,5574
188,7176,10,6123
189,5100,10,6297
190,6201,10,8716
191,5643,10,12521
192,6415,8,2171
193,5040,8,2604
194,8019,8,4079
195,5462,8,9987
196,5886,8,15774
197,6102,8,98246
198,6040,7,3650
199,7669,7,17142
200,5581,7,261022
201,7617,6,2009
202,5872,6,2415
203,5973,6,2859
204,6083,6,3013
205,6738,6,3389
206,6283,6,3948
207,7394,6,4520
208,7120,6,7580
209,6615,6,8554
210,7281,6,11940
211,6388,6,15708
212,5817,5,343
213,5948,5,566
214,7090,5,841
215,7491,5,872
216,7937,5,1029
217,5705,5,1447
218,6090,5,1547
219,5165,5,8754
220,5975,4,5759
221,7180,4,45157
222,5673,3,749
223,5060,3,1142
224,5371,3,1721
225,6020,3,1767
226,5731,3,1814
227,5388,3,6093
228,6257,2,3201
229,6498,2,9903
230,5117,1,369
231,7434,1,399
232,6833,1,433
233,6329,1,626
234,5139,1,752
235,5734,1,871
236,6740,1,884
237,6709,1,936
238,5854,1,1066
239,5945,1,1151
240,6087,1,1789
241,5683,1,1877
242,8214,1,1913
243,5246,1,2852
244,8139,1,16299
245,5173,0,0
246,6231,0,0
247,8152,0,0
248,5974,0,0
249,5686,0,0
250,7169,0,0
251,5697,0,0
252,7914,0,0
253,7294,0,0
254,7317,0,0
255,5855,0,0
256,7824,0,0
257,6658,0,0
258,3528,0,0
259,5358,0,0
260,5509,0,0
261,5414,0,0
262,5289,0,0
263,5550,0,0
264,3,0,0
265,5976,0,0
266,5229,0,0
267,5886,0,0
268,5630,0,0
269,7243,0,0
270,5284,0,0
271,7509,0,0
272,7304,0,0
273,6337,0,0
274,5168,0,0
275,6175,0,0
276,7225,0,0
277,6518,0,0
278,6772,0,0
279,5968,0,0
280,7189,0,0
281,7140,0,0
282,5410,0,0
283,7727,0,0
284,8149,0,0
285,7035,0,0
286,6054,0,0
287,6615,0,0
288,6227,0,0
289,5613,0,0
290,6055,0,0
291,00000,0,0
292,7463,0,0
293,5071,0,0
294,6922,0,0
295,5884,0,0
296,6803,0,0
297,5012,0,0
298,5707,0,0
299,6025,0,0
300,5432,0,0
301,5286,0,7290
302,6945,-1,10588
303,7310,-2,0
304,5526,-2,0
305,7680,-4,0
306,7645,-4,0
